"ohayou gozaimasu;bom dia | ?????????"
"konnichiwa;boa tarde | ?????"
"sayonara;tchau/adeus | ?????"
"hajimemashite;prazer | ??????"
"ja mata;até mais/até logo | ????"
"sumimasen;com licença/desculpe | ?????"
"onegaishimasu;por favor | ???????"
"arigatou gozaimasu;obrigado | ??????????"
"itadakimasu;usado antes da refeição | ??????"
"gochisousama;usado após a refeição | ??????"
"ittekimasu;estou indo | ??????"
"itterasshai;vá e volte bem | ????????"
"tadaima;cheguei | ????"
"okaerinasai;bem-vindo de volta | ???????"
"irasshai;bem-vindo/entre | ??????"
"shitsurei shimasu;com licença | ???????"
"omedetou gozaimasu;parabéns | ??????????"
"kuni;país | ??"
"igirisu;reino unido | ????"
"doitsu;alemanha | ???"
"chuugoku;china | ?????"
"kankoku;coreia do sul | ????"
"nihon;japão | ???"
"amerika;estados unidos | ????"
"burajiru;brasil | ????"
"shigoto;trabalho/profissão | ???"
"sensei;professor | ????"
"kaishain;funcionário | ??????"
"isha;médico | ???"
"enjinia;engenheiro | ?????"
"gakusei;estudante | ????"
"keitai;celular | ????"
"ikura desu ka;quanto custa? | ??????"
"nani;o que? | ??"
"hon;livro | ??"
"terebi;TV | ???"
"tokei;relógio | ???"
"tsukue;mesa/escrivaninha | ???"
"shinbun;jornal | ????"
"nooto;caderno | ???"
"shaapen;lapiseira | ?????"
"pen;caneta | ??"
"megane;óculos | ???"
"jisho;dicionário | ???"
"konpyuutaa;computador | ???????"
"kamera;câmera | ???"
"kagi;chave | ??"
"saifu;carteira | ???"
"denwa;telefone | ???"
"kasa;guarda-chuva | ??"
"kutsu;sapato | ??"
"boushi;boné/chapéu/touca | ???"
"kaban;bolsa | ???"
"ki;árvore | ?"
"jitensha;bicicleta | ?????"
"kuruma;carro | ???"
"uchi;casa (meu lar) | ??"
"ie;casa | ??"
"mise;loja | ??"
"hito;pessoa | ??"
"dare;quem? | ??"
"enpitsu;lápis | ????"
"otsuri;troco | ???"
"inu;cachorro | ??"
"origami;origami | ????"
"tori;pássaro | ??"
"dore;qual? | ??"
"anata;você | ???"
"doko;onde? | ??"
"keitai denwa;telefone celular | ???????"
