ichi;um (一) — いち 1 ;números
ni;dois (二) — に 2 ;números
san;três (三) — さん 3 ;números
yon;quatro (四) — よん 4 ;números
go;cinco (五) — ご 5 ;números
roku;seis (六) — ろく 6 ;números
nana;sete (七) — なな 7 ;números
hachi;oito (八) — はち 8 ;números
ku / kyuu;nove (九) — く / きゅう 9 ;números
juu;dez (十) — じゅう 10 ;números
juuichi;onze (十一) — じゅういち 11 ;números
juuni;doze (十二) — じゅうに 12 ;números
juusan;treze (十三) — じゅうさん 13 ;números
juuyon;quatorze (十四) — じゅうし 14 ;números
juugo;quinze (十五) — じゅうご 15 ;números
nijuu;vinte (二十) — にじゅう 20 ;números
sanjuu;trinta (三十) — さんじゅう 30 ;números
hyaku;cem (百) — ひゃく 100 ;números
sen;mil (千) — せん 1000 ;números
