# ── CUMPRIMENTOS ──
ohayou gozaimasu;bom dia — おはようございます;cumprimentos
konnichiwa;boa tarde — こんにちは;cumprimentos
konbanwa;boa noite — こんばんは;cumprimentos
sayonara;tchau / adeus — さようなら;cumprimentos
ja mata;até mais / até logo — じゃまた;cumprimentos
hajimemashite;prazer em conhecer — はじめまして;cumprimentos
yoroshiku onegaishimasu;muito prazer (formal) — よろしくおねがいします;cumprimentos
sumimasen;com licença / desculpe — すみません;cumprimentos
onegaishimasu;por favor — おねがいします;cumprimentos
arigatou gozaimasu;obrigado — ありがとうございます;cumprimentos
douitashimashite;de nada — どういたしまして;cumprimentos
shitsurei shimasu;com licença (formal) — しつれいします;cumprimentos
omedetou gozaimasu;parabéns — おめでとうございます;cumprimentos
itadakimasu;usado antes da refeição — いただきます;cumprimentos
gochisousama deshita;usado após a refeição — ごちそうさまでした;cumprimentos
ittekimasu;estou indo / até logo — いってきます;cumprimentos
itterasshai;vá com cuidado / até logo — いってらっしゃい;cumprimentos
tadaima;cheguei em casa — ただいま;cumprimentos
okaerinasai;bem-vindo de volta — おかえりなさい;cumprimentos
irasshai;bem-vindo / entre — いらっしゃい;cumprimentos
# ── APRESENTAÇÃO ──
namae;nome — なまえ;apresentação
watashi no namae wa;meu nome é — わたしのなまえは;apresentação
watashi;eu — わたし;apresentação
anata;você — あなた;apresentação
kare;ele — かれ;apresentação
kanojo;ela — かのじょ;apresentação
nan sai desu ka;quantos anos você tem? — なんさいですか;apresentação
doko kara desu ka;de onde você é? — どこからですか;apresentação
nihon-jin;japonês (pessoa) — にほんじん;apresentação
burajiru-jin;brasileiro (pessoa) — ブラジルじん;apresentação
hajimete;primeira vez — はじめて;apresentação
douzo;por favor / aqui está — どうぞ;apresentação
# ── FAMÍLIA ──
chichi;pai (meu pai) — ちち;família
haha;mãe (minha mãe) — はは;família
otousan;pai (pai de alguém) — おとうさん;família
okaasan;mãe (mãe de alguém) — おかあさん;família
ani;irmão mais velho (meu) — あに;família
ane;irmã mais velha (minha) — あね;família
oniisan;irmão mais velho — おにいさん;família
oneesan;irmã mais velha — おねえさん;família
otouto;irmão mais novo — おとうと;família
imouto;irmã mais nova — いもうと;família
musuko;filho — むすこ;família
musume;filha — むすめ;família
sofu;avô (meu) — そふ;família
sobo;avó (minha) — そぼ;família
ojisan;avô / tio — おじさん;família
obasan;avó / tia — おばさん;família
kazoku;família — かぞく;família
# ── CORES ──
aka;vermelho — あか;cores
ao;azul / verde — あお;cores
shiro;branco — しろ;cores
kuro;preto — くろ;cores
ki-iro;amarelo — きいろ;cores
midori;verde — みどり;cores
orenji;laranja — オレンジ;cores
murasaki;roxo — むらさき;cores
pinku;rosa — ピンク;cores
chairo;marrom — ちゃいろ;cores
haiiro;cinza — はいいろ;cores
# ── DIAS DA SEMANA ──
getsuyoubi;segunda-feira — げつようび;dias
kayoubi;terça-feira — かようび;dias
suiyoubi;quarta-feira — すいようび;dias
mokuyoubi;quinta-feira — もくようび;dias
kin'youbi;sexta-feira — きんようび;dias
doyoubi;sábado — どようび;dias
nichiyoubi;domingo — にちようび;dias
kyou;hoje — きょう;dias
ashita;amanhã — あした;dias
kinou;ontem — きのう;dias
# ── MESES ──
ichigatsu;janeiro — いちがつ;meses
nigatsu;fevereiro — にがつ;meses
sangatsu;março — さんがつ;meses
shigatsu;abril — しがつ;meses
gogatsu;maio — ごがつ;meses
rokugatsu;junho — ろくがつ;meses
shichigatsu;julho — しちがつ;meses
hachigatsu;agosto — はちがつ;meses
kugatsu;setembro — くがつ;meses
juugatsu;outubro — じゅうがつ;meses
juuichigatsu;novembro — じゅういちがつ;meses
juunigatsu;dezembro — じゅうにがつ;meses
# ── TEMPO / CLIMA ──
haru;primavera — はる;clima
natsu;verão — なつ;clima
aki;outono — あき;clima
fuyu;inverno — ふゆ;clima
hare;tempo bom / ensolarado — はれ;clima
ame;chuva — あめ;clima
yuki;neve — ゆき;clima
kaze;vento — かぜ;clima
kumori;nublado — くもり;clima
atsui;quente — あつい;clima
samui;frio — さむい;clima
# ── COMIDAS ──
gohan;arroz / refeição — ごはん;comidas
mizu;água — みず;comidas
ocha;chá — おちゃ;comidas
koohii;café — コーヒー;comidas
pan;pão — パン;comidas
tamago;ovo — たまご;comidas
sakana;peixe — さかな;comidas
niku;carne — にく;comidas
yasai;verdura — やさい;comidas
kudamono;fruta — くだもの;comidas
sushi;sushi — すし;comidas
ramen;ramen — ラーメン;comidas
tempura;tempura — てんぷら;comidas
udon;udon — うどん;comidas
soba;soba — そば;comidas
yakissoba;yakissoba — やきそば;comidas
sake;saquê — さけ;comidas
# ── OBJETOS ──
hon;livro — ほん;objetos
enpitsu;lápis — えんぴつ;objetos
pen;caneta — ペン;objetos
shaapen;lapiseira — シャーペン;objetos
nooto;caderno — ノート;objetos
kaban;bolsa — かばん;objetos
kagi;chave — かぎ;objetos
saifu;carteira — さいふ;objetos
kasa;guarda-chuva — かさ;objetos
tokei;relógio — とけい;objetos
megane;óculos — めがね;objetos
kamera;câmera — カメラ;objetos
terebi;televisão — テレビ;objetos
keitai denwa;celular — けいたいでんわ;objetos
konpyuutaa;computador — コンピューター;objetos
